"Date","Price","Open","High","Low","Change %"
"Jan 23","4.89","4.77","4.77","4.64","0.00%"
"Dec 22","4.89","5.51","5.51","5.42","-10.93%"
"Nov 22","5.49","5.35","5.55","5.35","2.81%"
"Oct 22","5.34","5.16","5.44","5.16","3.49%"
"Sep 22","5.16","6.52","6.52","5.13","-20.86%"
"Aug 22","6.52","6.54","6.79","6.36","-2.10%"
"Jul 22","6.66","6.32","6.66","5.96","6.22%"
"Jun 22","6.27","7.93","8.15","6.56","-20.23%"
"May 22","7.86","7.63","7.85","7.38","1.81%"
"Apr 22","7.72","7.35","8.05","7.35","4.04%"
"Mar 22","7.42","7.63","8.05","7.63","1.64%"
"Feb 22","7.30","6.87","6.87","6.85","6.88%"
"Jan 22","6.83","6.37","6.37","6.37","7.56%"
"Dec 21","6.35","6.04","6.04","6.04","4.10%"
"Nov 21","6.10","6.59","6.60","6.56","-7.29%"
"Oct 21","6.58","6.41","6.62","6.41","2.97%"
"Sep 21","6.39","6.23","6.23","6.16","2.57%"
"Aug 21","6.23","6.26","6.26","6.12","-0.48%"
"Jul 21","6.26","6.09","6.09","6.09","3.13%"
"Jun 21","6.07","7.37","7.37","5.85","-16.39%"
"May 21","7.26","7.07","7.24","7.07","3.57%"
"Apr 21","7.01","6.46","7.00","6.46","9.19%"
"Mar 21","6.42","6.50","6.50","6.50","-1.68%"
"Feb 21","6.53","6.23","6.23","6.23","6.70%"
"Jan 21","6.12","5.96","6.14","5.96","3.55%"
"Dec 20","5.91","5.57","5.57","5.57","6.10%"
"Nov 20","5.57","5.34","5.34","5.34","4.70%"
"Oct 20","5.32","5.22","5.31","5.22","0.95%"
"Sep 20","5.27","5.50","5.50","5.50","-4.01%"
"Aug 20","5.49","5.07","5.22","5.07","8.28%"
"Jul 20","5.07","4.74","5.09","4.74","6.96%"
"Jun 20","4.74","4.60","4.76","4.60","3.04%"
"May 20","4.60","4.33","4.60","4.33","6.48%"
"Apr 20","4.32","4.26","4.50","4.17","1.41%"
"Mar 20","4.26","5.35","5.44","3.92","-18.55%"
"Feb 20","5.23","5.52","5.67","5.23","-5.25%"
"Jan 20","5.52","5.97","6.04","5.54","-7.54%"
"Dec 19","5.97","5.66","6.00","5.66","5.66%"
"Nov 19","5.65","5.79","5.91","5.65","-2.42%"
"Oct 19","5.79","5.66","5.83","5.65","2.30%"
"Sep 19","5.66","5.69","5.94","5.69","-0.70%"
"Aug 19","5.70","5.87","5.87","5.62","-2.90%"
"Jul 19","5.87","5.87","6.02","5.79","-0.68%"
"Jun 19","5.91","5.81","5.95","5.71","1.72%"
"May 19","5.81","6.05","6.05","5.82","-3.97%"
"Apr 19","6.05","6.07","6.20","6.04","0.33%"
"Mar 19","6.03","6.02","6.12","5.96","0.17%"
"Feb 19","6.02","5.91","6.07","5.84","1.86%"
"Jan 19","5.91","5.54","5.92","5.54","6.68%"
"Dec 18","5.54","6.04","6.13","5.58","-8.28%"
"Nov 18","6.04","6.18","6.26","5.93","-2.27%"
"Oct 18","6.18","6.49","6.58","6.22","-3.44%"
"Sep 18","6.40","6.39","6.40","6.15","0.16%"
"Aug 18","6.39","6.50","6.51","6.27","-1.69%"
"Jul 18","6.50","6.53","6.59","6.30","-2.40%"
"Jun 18","6.66","7.02","7.02","6.55","-5.13%"
"May 18","7.02","6.92","7.09","6.88","1.45%"
"Apr 18","6.92","6.69","6.98","6.68","2.52%"
"Mar 18","6.75","6.75","6.82","6.64","0.00%"
"Feb 18","6.75","6.90","6.91","6.55","-2.17%"
"Jan 18","6.90","6.79","6.99","6.75","1.92%"
"Dec 17","6.77","6.70","6.80","6.55","1.04%"
"Nov 17","6.70","6.74","6.92","6.71","-0.59%"
"Oct 17","6.74","6.51","6.74","6.51","2.59%"
"Sep 17","6.57","6.74","6.85","6.57","-2.52%"
